UserID,Trial_no,ab_ad_angle,ex_angle,Method,ObjectType,Block,best,lowerbound,upperbound,duration,MethodBlock,ObjectBlock,Repetition,ForceLevel
1,1,,40.0,extension only,real,1,,,,,1,1,1,20
1,2,,55.0,extension only,real,1,,,,,1,1,1,30
1,3,,25.0,extension only,real,1,,,,,1,1,1,10
1,4,,40.0,extension only,real,1,,,,,1,1,2,20
1,5,,55.0,extension only,real,1,,,,,1,1,2,30
1,6,,25.0,extension only,real,1,,,,,1,1,2,10
1,7,,40.0,extension only,virtual,2,,,,,1,2,1,20
1,8,,55.0,extension only,virtual,2,,,,,1,2,1,30
1,9,,25.0,extension only,virtual,2,,,,,1,2,1,10
1,10,,40.0,extension only,virtual,2,,,,,1,2,2,20
1,11,,25.0,extension only,virtual,2,,,,,1,2,2,10
1,12,,55.0,extension only,virtual,2,,,,,1,2,2,30
1,13,10.0,25.0,both,virtual,3,,,,,2,1,1,10
1,14,20.0,40.0,both,virtual,3,,,,,2,1,1,20
1,15,30.0,55.0,both,virtual,3,,,,,2,1,1,30
1,16,30.0,55.0,both,virtual,3,,,,,2,1,2,30
1,17,20.0,40.0,both,virtual,3,,,,,2,1,2,20
1,18,10.0,25.0,both,virtual,3,,,,,2,1,2,10
1,19,10.0,25.0,both,real,4,,,,,2,2,1,10
1,20,20.0,40.0,both,real,4,,,,,2,2,1,20
1,21,30.0,55.0,both,real,4,,,,,2,2,1,30
1,22,20.0,40.0,both,real,4,,,,,2,2,2,20
1,23,30.0,55.0,both,real,4,,,,,2,2,2,30
1,24,10.0,25.0,both,real,4,,,,,2,2,2,10
1,25,10.0,,inter-finger only,real,5,,,,,3,1,1,10
1,26,20.0,,inter-finger only,real,5,,,,,3,1,1,20
1,27,30.0,,inter-finger only,real,5,,,,,3,1,1,30
1,28,10.0,,inter-finger only,real,5,,,,,3,1,2,10
1,29,30.0,,inter-finger only,real,5,,,,,3,1,2,30
1,30,20.0,,inter-finger only,real,5,,,,,3,1,2,20
1,31,20.0,,inter-finger only,virtual,6,,,,,3,2,1,20
1,32,30.0,,inter-finger only,virtual,6,,,,,3,2,1,30
1,33,10.0,,inter-finger only,virtual,6,,,,,3,2,1,10
1,34,30.0,,inter-finger only,virtual,6,,,,,3,2,2,30
1,35,10.0,,inter-finger only,virtual,6,,,,,3,2,2,10
1,36,20.0,,inter-finger only,virtual,6,,,,,3,2,2,20
2,1,,50.0,extension only,virtual,1,13.6,12.1,16.1,105.543,1,1,1,30
2,2,,38.0,extension only,virtual,1,10.1,8.6,10.6,73.308,1,1,1,20
2,3,,25.0,extension only,virtual,1,5.1,4.1,6.6,80.727,1,1,1,10
2,4,,50.0,extension only,real,1,15.6,14.1,17.1,94.509,1,1,2,30
2,5,,38.0,extension only,real,1,10.1,9.6,11.6,81.111,1,1,2,20
2,6,,25.0,extension only,real,1,6.1,5.6,6.1,112.067,1,1,2,10
2,7,,25.0,extension only,real,2,6.6,6.1,7.6,77.808,1,2,1,10
2,8,,50.0,extension only,real,2,10.6,9.6,11.1,53.655,1,2,1,30
2,9,,38.0,extension only,real,2,8.1,6.6,9.6,33.676,1,2,1,20
2,10,,50.0,extension only,virtual,2,12.1,11.6,12.6,74.854,1,2,2,30
2,11,,38.0,extension only,virtual,2,8.6,7.6,9.1,77.651,1,2,2,20
2,12,,25.0,extension only,virtual,2,5.6,5.6,7.1,46.52,1,2,2,10
